,0th Order,1st Order,2nd Order
reconstruction loss,0.3806927502155304,0.24329063296318054,0.3722321689128876
tangent angle loss,1.8289252519607544,1.6651718616485596,1.1902340650558472
tangent drift alignment loss,0.17043694853782654,0.1654711365699768,0.1661493480205536
diffeomorphism loss,1.77953040599823,1.908825159072876,1.9234353303909302
diffusion loss,0.37861952,0.00212481,0.44492897
drift loss,0.66460997,0.29838032,0.5306605
