,0th Order,1st Order,2nd Order
reconstruction loss,0.007703070528805256,0.0035881181247532368,0.004716706927865744
tangent angle loss,0.11118871718645096,0.011774813756346703,0.017275674268603325
tangent drift alignment loss,1.1151237487792969,0.7083632349967957,0.31409749388694763
diffeomorphism loss,0.1790141463279724,0.18754398822784424,0.1556914746761322
diffusion loss,0.05343815,0.05474548,0.020030437
drift loss,0.002732131,0.0020241372,0.0008016519
